waypoint1	waypoint2	distance_m	duration_s
alfons x metro, barcelona	bac de roda metro, barcelona	4068	1428
alfons x metro, barcelona	badal metro, barcelona	6176	1882
alfons x metro, barcelona	badalona pompeu fabra metro, barcelona	10078	2405
alfons x metro, barcelona	barceloneta metro, barcelona	4989	1340
alfons x metro, barcelona	baro de vivir metro, barcelona	9899	2435
alfons x metro, barcelona	bellvitge metro, barcelona	13104	3070
alfons x metro, barcelona	besos metro, barcelona	11244	2430
alfons x metro, barcelona	besos mar metro, barcelona	10235	2073
alfons x metro, barcelona	bogatell metro, barcelona	6979	1576
alfons x metro, barcelona	bon pastor metro, barcelona	6056	2317
alfons x metro, barcelona	camp de l'arpa metro, barcelona	1668	1183
alfons x metro, barcelona	can boixeres metro, barcelona	9591	2402
alfons x metro, barcelona	can cuias metro, barcelona	7115	2039
alfons x metro, barcelona	can peixauet metro, barcelona	9169	2960
alfons x metro, barcelona	can serra metro, barcelona	10799	2763
alfons x metro, barcelona	can tries metro, barcelona	9032	2913
alfons x metro, barcelona	can vidalet metro, barcelona	8733	2272
alfons x metro, barcelona	can zam metro, barcelona	13101	3489
alfons x metro, barcelona	canyelles metro, barcelona	6878	1928
alfons x metro, barcelona	casa de l'aigua metro, barcelona	5413	1571
alfons x metro, barcelona	catalunya metro, barcelona	3699	1276
alfons x metro, barcelona	centric metro, barcelona	15009	3618
alfons x metro, barcelona	via olimpica metro, barcelona	4067	1051
alfons x metro, barcelona	ciutat meridiana metro, barcelona	6892	1980
alfons x metro, barcelona	clot metro, barcelona	3135	1289
alfons x metro, barcelona	collblanc metro, barcelona	6939	2071
alfons x metro, barcelona	congres metro, barcelona	2157	1070
alfons x metro, barcelona	cornella centre metro, barcelona	11852	2759
alfons x metro, barcelona	cornella riera metro, barcelona	12714	3376
alfons x metro, barcelona	Diagonal, Barcelona, Spain	2982	1597
alfons x metro, barcelona	Drassanes metro, barcelona	6303	1838
alfons x metro, barcelona	el carmel metro, barcelona	4684	1719
alfons x metro, barcelona	el coll metro, barcelona	5871	1910
alfons x metro, barcelona	el maresme metro, barcelona	9818	2070
alfons x metro, barcelona	el prat estacio metro, barcelona	17181	3787
alfons x metro, barcelona	el putxet metro, barcelona	2946	1109
alfons x metro, barcelona	encants metro, barcelona	2003	882
alfons x metro, barcelona	entenca metro, barcelona	4189	1556
alfons x metro, barcelona	ernest lluch metro, barcelona	7483	2520
alfons x metro, barcelona	esglesia major metro, barcelona	11334	3204
alfons x metro, barcelona	espanya metro, barcelona	6694	2052
alfons x metro, barcelona	europa metro, barcelona	8589	2536
alfons x metro, barcelona	Fabra metro, barcelona	6741	1945
alfons x metro, barcelona	Fira metro, barcelona	10482	3089
alfons x metro, barcelona	Florida metro, barcelona	10122	2598
alfons x metro, barcelona	Fondo metro, barcelona	11530	2687
alfons x metro, barcelona	Fontana metro, barcelona	1957	1493
alfons x metro, barcelona	Gavarra metro, barcelona	11108	2673
alfons x metro, barcelona	girona metro, barcelona	2354	812
alfons x metro, barcelona	glories metro, barcelona	2571	1068
alfons x metro, barcelona	gorg metro, barcelona	9282	2532
alfons x metro, barcelona	gornal metro, barcelona	9682	3430
alfons x metro, barcelona	gracia metro, barcelona	5000	1643
alfons x metro, barcelona	guinardo metro, barcelona	770	565
alfons x metro, barcelona	horta metro, barcelona	3972	1583
alfons x metro, barcelona	hospital de bellvitge metro, barcelona	13987	3203
alfons x metro, barcelona	dos de maig metro, barcelona	1196	609
alfons x metro, barcelona	hospital clinic metro, barcelona	3542	1449
alfons x metro, barcelona	hostafrancs metro, barcelona	6982	2074
alfons x metro, barcelona	ildefons cerda metro, barcelona	7771	2413
alfons x metro, barcelona	Jaume I metro, barcelona	4242	1159
alfons x metro, barcelona	Joanic metro, barcelona	812	620
alfons x metro, barcelona	Bonanova metro, barcelona	4018	1308
alfons x metro, barcelona	La pau metro, barcelona	11488	2289
alfons x metro, barcelona	Sagrera metro, barcelona	3224	1439
alfons x metro, barcelona	La salut metro, barcelona	7916	2594
alfons x metro, barcelona	Les Corts metro, barcelona	6003	1723
alfons x metro, barcelona	Les moreres metro, barcelona	15017	3486
alfons x metro, barcelona	Les tres torres metro, barcelona	3934	1271
alfons x metro, barcelona	Lesseps metro, barcelona	2637	1095
alfons x metro, barcelona	Liceu metro, barcelona	4840	1600
alfons x metro, barcelona	Llacuna metro, barcelona	7610	1641
alfons x metro, barcelona	llefia metro, barcelona	7286	2532
alfons x metro, barcelona	llucmajor metro, barcelona	3306	917
alfons x metro, barcelona	Magoria metro, barcelona	7502	2270
alfons x metro, barcelona	Maragall metro, barcelona	2101	769
alfons x metro, barcelona	Maria Cristina metro, barcelona	7505	2021
alfons x metro, barcelona	Marina metro, barcelona	2607	710
alfons x metro, barcelona	Mas blau metro, barcelona	20947	4121
alfons x metro, barcelona	Mercabarna metro, barcelona	15940	4600
alfons x metro, barcelona	Mercat Nou metro, barcelona	7975	2308
alfons x metro, barcelona	Moli Nou metro, barcelona	22754	5806
alfons x metro, barcelona	Montbau metro, barcelona	9288	2347
alfons x metro, barcelona	Monumental metro, barcelona	1907	709
alfons x metro, barcelona	Mundet metro, barcelona	8711	2290
alfons x metro, barcelona	Muntaner metro, barcelona	3852	1501
alfons x metro, barcelona	Navas metro, barcelona	5189	1702
alfons x metro, barcelona	Onza de Setembre metro, barcelona	4593	2119
alfons x metro, barcelona	Palau Reial metro, barcelona	10983	2821
alfons x metro, barcelona	Padua metro, barcelona	2942	1011
alfons x metro, barcelona	Parallel metro, barcelona	5449	1840
alfons x metro, barcelona	Parc logistic metro, barcelona	12065	3266
alfons x metro, barcelona	Parc nou metro, barcelona	19236	3943
alfons x metro, barcelona	passeig de gracia metro, barcelona	3117	1017
alfons x metro, barcelona	penitents metro, barcelona	7084	2226
alfons x metro, barcelona	pep ventura metro, barcelona	9229	2247
alfons x metro, barcelona	placa molina metro, barcelona	3408	1328
alfons x metro, barcelona	placa de sants metro, barcelona	5523	1775
alfons x metro, barcelona	placa del centre metro, barcelona	6316	1670
alfons x metro, barcelona	poblenou metro, barcelona	8281	1751
alfons x metro, barcelona	poble sec metro, barcelona	6622	2091
alfons x metro, barcelona	provenca metro, barcelona	2910	1521
alfons x metro, barcelona	pubilla cases metro, barcelona	7944	2149
alfons x metro, barcelona	rambla just oliveres metro, barcelona	11672	2842
alfons x metro, barcelona	reina elisenda metro, barcelona	10770	2267
alfons x metro, barcelona	rocafort metro, barcelona	5867	1880
alfons x metro, barcelona	roquetes metro, barcelona	5462	1691
alfons x metro, barcelona	sagrada familia metro, barcelona	1466	504
alfons x metro, barcelona	sant andreu metro, barcelona	6741	1945
alfons x metro, barcelona	sant antoni metro, barcelona	4302	1615
alfons x metro, barcelona	sant boi metro, barcelona	18692	4925
alfons x metro, barcelona	sant gervasi metro, barcelona	3380	1305
alfons x metro, barcelona	sant ildefons metro, 08940 Cornellà de Llobregat, barcelona	10283	2514
alfons x metro, barcelona	sant josep metro, barcelona	12727	3505
alfons x metro, barcelona	sant marti metro, barcelona	4682	1531
alfons x metro, barcelona	sant roc metro, barcelona	8169	2163
alfons x metro, barcelona	santa coloma metro, barcelona	10633	2552
alfons x metro, barcelona	santa eulalia metro, barcelona	8545	2353
alfons x metro, barcelona	santa rosa metro, barcelona	9558	3519
alfons x metro, barcelona	sants estacio metro, barcelona	6272	1453
alfons x metro, barcelona	sarria metro, barcelona	4392	1656
alfons x metro, barcelona	selva de mar metro, barcelona	9004	1908
